Value of N,Comparisons of O(n),Comparisons of O(M + log n),Comparisons of O(log n)
118800,71490,11754,0
118900,71202,11922,0
119000,71587,11888,0
119100,71385,11588,0
119200,71352,11773,0
119300,71427,11942,0
119400,71753,12061,0
119500,71508,11957,0
119600,71908,12042,0
119700,71834,12115,0
119800,71914,12010,0
119900,72169,11972,0
120000,72107,12012,0
120100,71969,12156,0
120200,72190,12024,0
120300,72065,12099,0
120400,72249,12077,0
120500,72155,12201,0
120600,72244,12054,0
120700,72330,11981,0
120800,72489,12311,0
120900,72754,12245,0
121000,72308,11916,0
121100,72598,12234,0
121200,72577,12146,0
121300,72754,11955,0
121400,72696,12131,0
121500,73137,12126,0
121600,73032,12094,0
121700,72959,12247,0
121800,73124,12171,0
121900,73177,12088,0
122000,72980,12305,0
122100,73077,12218,0
122200,73248,12265,0
122300,73195,12270,0
122400,73280,12119,0
122500,73483,12197,0
122600,73523,12232,0
122700,73475,12315,0
122800,73583,12186,0
122900,74004,12267,0
123000,73650,12291,0
123100,73992,12288,0
123200,73849,12286,0
123300,73749,12299,0
123400,73985,12472,0
123500,74336,12484,0
123600,74591,12538,0
123700,74533,12500,0
123800,74198,12367,0
123900,74312,12296,0
124000,74083,12387,0
124100,74540,12423,0
124200,74200,12294,0
124300,74536,12495,0
124400,74679,12523,0
124500,74603,12633,0
124600,74633,12415,0
124700,75106,12518,0
124800,74774,12543,0
124900,75017,12248,0
125000,75081,12464,0
125100,75101,12544,0
125200,75373,12661,0
125300,75307,12527,0
125400,75281,12671,0
125500,75421,12546,0
125600,75281,12503,0
125700,75416,12619,0
125800,75621,12665,0
125900,75749,12515,0
126000,75542,12723,0
126100,75725,12619,0
126200,75886,12681,0
